PEILDATUM;NETBEHEERDER;PROVINCIE;GEMEENTE;PLAATS                 ;CBS_BUURTCODE_2023;CBS_BUURTNAAM_2023                      ;AANTAL_AANSLUITINGEN_MET_PV;TOTAAL_AANTAL_AANSLUITINGEN;OPGESTELD_VERMOGEN_KW
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Hippolytushoef         ;BU19110590   ;Buitengebied Hippolytushoef                          ;67;185;664,3
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Kolhorn                ;BU19111101   ;Kolhorn (woonkern) en De Strook                      ;193;504;674,878
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Kolhorn                ;BU19111190   ;Buitengebied Kolhorn                                 ;13;40;98,31
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Kreileroord            ;BU19110801   ;Kreileroord                                          ;72;260;285,01
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Lutjewinkel            ;BU19111401   ;Lutjewinkel (woonkern)                               ;73;194;299,77
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Lutjewinkel            ;BU19111490   ;Buitengebied Lutjewinkel                             ;67;128;641,072
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Middenmeer             ;BU19111001   ;Middenmeer Centrum                                   ;307;857;1.022,86
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Middenmeer             ;BU19111002   ;Middenmeer Kroonwaard, Schelpenwijk e.o.             ;309;685;1.289,94
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Middenmeer             ;BU19111080   ;Bedrijventerrein Agriport                            ;13;174;156,4
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Middenmeer             ;BU19111081   ;Bedrijventerrein Middenmeer                          ;25;138;317,17
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Middenmeer             ;BU19111090   ;Buitengebied Middenmeer                              ;92;210;2.031,31
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Nieuwe Niedorp         ;BU19111601   ;Nieuwe Niedorp Dorpsstraat e.o.                      ;308;977;1.569,17
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Nieuwe Niedorp         ;BU19111602   ;De Veert                                             ;208;433;756,125
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Nieuwe Niedorp         ;BU19111690   ;Buitengebied Nieuwe Niedorp                          ;89;183;995,615
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;2;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;2;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;3;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;4;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;6;0
