PEILDATUM;NETBEHEERDER;PROVINCIE;GEMEENTE;PLAATS                 ;CBS_BUURTCODE_2023;CBS_BUURTNAAM_2023                      ;AANTAL_AANSLUITINGEN_MET_PV;TOTAAL_AANTAL_AANSLUITINGEN;OPGESTELD_VERMOGEN_KW
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;8;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;20;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;25;0
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;1;42
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;1;1
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;2;34,5
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;4;4,6
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;6;15
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;7;1,38
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;14;5
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;28;9
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);2;20;21,6
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);2;22;10
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);3;11;8,9
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Oude Niedorp           ;BU19111901   ;Oude Niedorp (woonkern)                              ;46;97;221,49
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Oude Niedorp           ;BU19111990   ;Buitengebied Oude Niedorp                            ;37;75;261,96
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Slootdorp              ;BU19110901   ;Slootdorp (woonkern)                                 ;269;629;1.088,56
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Slootdorp              ;BU19110990   ;Buitengebied Slootdorp                               ;138;260;2.326,26
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;'t Veld                ;BU19111701   ;'t Veld (woonkern)                                   ;360;780;1.413,97
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;'t Veld                ;BU19111702   ;'t Veld Noord                                        ;53;62;258,315
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;'t Veld                ;BU19111790   ;Buitengebied 't Veld                                 ;55;109;609,27
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Westerland             ;BU19110401   ;Westerland (woonkern)                                ;134;338;707,8
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Westerland             ;BU19110402   ;De Haukes                                            ;31;61;140,68
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Westerland             ;BU19110490   ;Buitengebied Westerland                              ;25;72;144,889
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Wieringerwaard         ;BU19110301   ;Wieringerwaard (woonkern)                            ;350;814;1.478,50
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Wieringerwaard         ;BU19110302   ;Nieuwesluis                                          ;22;47;90,45
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Wieringerwaard         ;BU19110390   ;Buitengebied Wieringerwaard                          ;81;188;942,32
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Wieringerwerf          ;?            ;?                                                    ;7;32;43,7
20240409;Liander;Noord-Holland           ;Hollands Kroon         ;Wieringerwerf          ;BU19110701   ;Wieringerwerf Centrum                                ;320;900;1.223,60
